estado,municipio,clave_marco_geoestadistico,url_consulta
Chihuahua,Chihuahua,08019,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=340659.409367501,3108882.41522698,432069.082228328,3295153.70016039&edoMun=08019"
Chihuahua,Chínipas,08020,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=724300.49993127,2987043.18130207,769119.189765023,3078356.97830834&edoMun=08020"
Chihuahua,Delicias,08021,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=432841.166670303,3093865.28085328,465513.216972929,3127977.37835487&edoMun=08021"
Chihuahua,Dr. Belisario Domínguez,08022,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=336943.501981646,3071282.37943366,373199.399672959,3123512.3970969&edoMun=08022"
Chihuahua,Galeana,08023,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=213965.457037973,3317947.51242707,265538.002841216,3371079.97158063&edoMun=08023"
Chihuahua,Santa Isabel,08024,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=348257.938362562,3113225.60925076,382250.915682598,3150406.93485333&edoMun=08024"
Chihuahua,Gómez Farías,08025,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=215674.266903172,3228712.70595346,251835.152123377,3270197.74319715&edoMun=08025"
Chihuahua,Gran Morelos,08026,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=328435.834567985,3118201.79199966,359869.108815714,3145629.59724055&edoMun=08026"
Chihuahua,Guachochi,08027,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=217722.135482998,2946053.193766,320433.288413584,3063339.282624&edoMun=08027"
Chihuahua,Guadalupe,08028,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=373991.443591881,3351957.38067038,512684.573858255,3480389.36014628&edoMun=08028"
Chihuahua,Guadalupe y Calvo,08029,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=208469.847756169,2830016.57805937,359156.312876117,2952747.4058755&edoMun=08029"
Chihuahua,Guazapares,08030,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=748525.434648946,2991252.23130201,793054.490959941,3070007.76235001&edoMun=08030"
Chihuahua,Guerrero,08031,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=194521.021778858,3101270.69947615,301305.020310277,3199457.57472217&edoMun=08031"
Chihuahua,Hidalgo del Parral,08032,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=402823.498451531,2971565.27191174,460704.415260031,3027278.66216714&edoMun=08032"
Chihuahua,Huejotitán,08033,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=376602.296616743,2971621.85711296,409397.622887259,3018102.70792103&edoMun=08033"
Chihuahua,Ignacio Zaragoza,08034,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=206254.362951125,3257616.0479829,271683.438667442,3326849.53906249&edoMun=08034"
Chihuahua,Janos,08035,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=697545.043368682,3340475.37132492,791635.632062488,3470641.32243438&edoMun=08035"
Chihuahua,Jiménez,08036,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=489627.583556173,2913393.61314809,628384.890508846,3053473.9007222&edoMun=08036"
Chihuahua,Juárez,08037,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=313902.743315111,3444534.74667139,388195.178012822,3517109.2224079&edoMun=08037"
Chihuahua,Julimes,08038,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=448182.806818196,3122878.97376307,540913.975386782,3188827.43243795&edoMun=08038"
Chihuahua,López,08039,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=473690.852612374,2949363.15256854,529266.36613778,3009174.41403059&edoMun=08039"
Chihuahua,Madera,08040,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=718674.316049165,3175431.25204245,810754.307048793,3323734.67415472&edoMun=08040"
Chihuahua,Maguarichi,08041,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=191883.552120946,3055788.84507793,221565.578744576,3105692.68884147&edoMun=08041"
Chihuahua,Manuel Benavides,08042,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=568600.744618927,3157765.61796457,664454.885307132,3242400.9488383&edoMun=08042"
Chihuahua,Matachí,08043,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=218934.662982159,3172099.45292066,252117.779997174,3209082.15700827&edoMun=08043"
Chihuahua,Matamoros,08044,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=420856.081512564,2932260.57650932,468106.377062103,2977091.14914705&edoMun=08044"
Chihuahua,Meoqui,08045,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=435576.23240575,3123535.27684865,469599.407109893,3150460.6834258&edoMun=08045"
Chihuahua,Morelos,08046,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=192261.980770879,2911103.06589227,265767.906072368,2968093.12626183&edoMun=08046"
Chihuahua,Moris,08047,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=689370.636156952,3094350.41744249,753709.460447323,3140865.16226021&edoMun=08047"
Chihuahua,Namiquipa,08048,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=242529.723202022,3183465.91209355,356441.444754813,3272436.06222937&edoMun=08048"
Chihuahua,Nonoava,08049,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=303934.786661948,3007940.76083481,365030.346583661,3066864.90123116&edoMun=08049"
Chihuahua,Nuevo Casas Grandes,08050,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=211178.758484682,3339614.14171812,269935.184175209,3416482.89545848&edoMun=08050"
Chihuahua,Ocampo,08051,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=742906.108184402,3092726.91176263,813744.834171059,3140509.2271719&edoMun=08051"
Chihuahua,Ojinaga,08052,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=497456.520408773,3161838.26296643,598809.214266882,3375506.13111462&edoMun=08052"
Chihuahua,Praxedis G. Guerrero,08053,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=401208.352898549,3441558.78468781,423286.644271634,3473526.38077662&edoMun=08053"
Chihuahua,Riva Palacio,08054,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=315042.826768367,3145009.2984229,374246.640690806,3239271.65140071&edoMun=08054"
Chihuahua,Rosales,08055,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=392169.411318533,3084287.79473889,452446.853997398,3164690.15974519&edoMun=08055"
Chihuahua,Rosario,08056,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=339480.738279574,3001060.02595707,396852.095672964,3035035.44343382&edoMun=08056"
Chihuahua,San Francisco de Borja,08057,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=305231.363889799,3063008.03611983,351564.717771492,3109815.053245&edoMun=08057"
Chihuahua,San Francisco de Conchos,08058,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=441241.560916398,3026395.70095195,480818.933914556,3075311.16401093&edoMun=08058"
Chihuahua,San Francisco del Oro,08059,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=384525.392640923,2960736.68877673,423092.335360011,2988474.34984296&edoMun=08059"
